2019 Input-Output Analytical Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Input-Output table (domestic use, basic prices, industry by industry), £ million",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MENU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SIC,A01,A02,A03,B05,B06 & B07,B08,B09,C101,C102_3,C104,C105,C106,C107,C108,C109,C1101T1106 & C12,C1107,C13,C14,C15,C16,C17,C18,C19,C203,C204,C205,C20A,C20B,C20C,C21,C22,C235_6,C23OTHER,C241T243,C244_5,C254,C25OTHER,C26,C27,C28,C29,C301,C303,C30OTHER,C31,C32,C3315,C3316,C33OTHER,D351,D352_3,E36,E37,E38,E39,"F41, F42  & F43",G45,G46,G47,H491_2,H493T495,H50,H51,H52,H53,I55,I56,J58,J59 & J60,J61,J62,J63,K64,K65.1-2 & K65.3,K66,L683,L68A,L68BXL683,M691,M692,M70,M71,M72,M73,M74,M75,N77,N78,N79,N80,N81,N82,O84,P85,Q86,Q87 & Q88,R90,R91,R92,R93,S94,S95,S96,T97,_T,P3 S1,P3 S13,P3 S14,P3 S15,P51G,P52,P53,P61EU,P61RW,P62,TU,,,,,,
,Industry,"Crop And Animal Production, Hunting And Related Service Activities  ",Forestry And Logging  ,Fishing And Aquaculture  ,Mining Of Coal And Lignite  ,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Other Mining And Quarrying  ,Mining Support Service Activities  ,Processing and preserving of meat and production of meat products,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",Manufacture of vegetable and animal oils and fats,Manufacture of dairy products,"Manufacture of grain mill products, starches and starch products",Manufacture of bakery and farinaceous products,Manufacture of other food products,Manufacture of prepared animal feeds,Manufacture of alcoholic beverages  & Tobacco Products,Manufacture of soft drinks; production of mineral waters and other bottled waters,Manufacture Of Textiles  ,Manufacture Of Wearing Apparel  ,Manufacture Of Leather And Related Products  ,"Manufacture Of Wood & Products Of Wood & Cork, Except Furniture; Manuf. Of Articles Of Straw",Manufacture Of Paper And Paper Products  ,Printing And Reproduction Of Recorded Media  ,Manufacture Of Coke And Refined Petroleum Products  ,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics","Manufacture of soap & detergents, cleaning & polishing, perfumes & toilet preparations",Manufacture of other chemical products,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",Manufacture of petrochemicals - 20.14/16/17/60,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,Manufacture Of Rubber And Plastic Products  ,"Manufacture of cement, lime, plaster and articles of concrete, cement and plaster","Manufacture of glass, refractory, clay, porcelain, ceramic, stone products - 23.1-4/7-9",Manufacture of basic iron and steel,Manufacture of other basic metals and casting,Manufacture of weapons and ammunition,"Manufacture of fabricated metal products, excluding weapons & ammunition - 25.1-3/5-9","Manufacture Of Computer, Electronic And Optical Products  ",Manufacture Of Electrical Equipment  ,Manufacture Of Machinery And Equipment N.E.C.  ,"Manufacture Of Motor Vehicles, Trailers And Semi-Trailers  ",Building of ships and boats,Manufacture of air and spacecraft and related machinery,Manufacture of other transport equipment - 30.2/4/9,Manufacture Of Furniture  ,Other Manufacturing  ,Repair and maintenance of ships and boats,Repair and maintenance of aircraft and spacecraft,Rest of repair; Installation - 33.11-14/17/19/20,"Electric power generation, transmission and distribution",Manufacture of gas; distribution of gaseous fuels through mains; steam and aircon supply,"Water Collection, Treatment And Supply  ",Sewerage  ,"Waste Collection, Treatment And Disposal Activities; Materials Recovery  ",Remediation Activities And Other Waste Management Services  ,Construction,Wholesale And Retail Trade And Repair Of Motor Vehicles And Motorcycles  ,"Wholesale Trade, Except Of Motor Vehicles And Motorcycles  ","Retail Trade, Except Of Motor Vehicles And Motorcycles  ",Rail transport,"Land transport services and transport services via pipelines, excluding rail transport",Water Transport  ,Air Transport  ,Warehousing And Support Activities For Transportation  ,Postal And Courier Activities  ,Accommodation  ,Food And Beverage Service Activities  ,Publishing Activities  ,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Telecommunications  ,"Computer Programming, Consultancy And Related Activities  ",Information Service Activities  ,"Financial Service Activities, Except Insurance And Pension Funding  ","Insurance, reinsurance and pension funding services, except compulsory social security",Activities Auxiliary To Financial Services And Insurance Activities  ,Real estate services on a fee or contract basis  ,Owner-Occupiers' Housing,"Buying and selling, renting and operating of own or leased real estate, excluding imputed rent",Legal activities  ,"Accounting, bookkeeping and auditing activities; tax consultancy  ",Activities Of Head Offices; Management Consultancy Activities  ,Architectural And Engineering Activities; Technical Testing And Analysis  ,Scientific Research And Development  ,Advertising And Market Research  ,"Other Professional, Scientific And Technical Activities  ",Veterinary Activities  ,Rental And Leasing Activities  ,Employment Activities  ,"Travel Agency, Tour Operator And Other Reservation Service And Related Activities  ",Security And Investigation Activities  ,Services To Buildings And Landscape Activities  ,"Office Administrative, Office Support And Other Business Support Activities  ",Public Administration And Defence; Compulsory Social Security  ,Education  ,Human Health Activities,Residential Care  & Social Work Activities,"Creative, Arts And Entertainment Activities  ","Libraries, Archives, Museums And Other Cultural Activities  ",Gambling And Betting Activities  ,Sports Activities And Amusement And Recreation Activities  ,Activities Of Membership Organisations  ,Repair Of Computers And Personal And Household Goods  ,Other Personal Service Activities  ,Activities Of Households As Employers Of Domestic Personnel  ,Total,Final consumption expenditure,Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Acquisitions less disposals of valuables,Exports of goods to EU,Exports of goods to rest of the world,Exports of Services,Total Use,,,,,,
SIC,Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A01,"Crop And Animal Production, Hunting And Related Service Activities  ","4,635",1,1,0,4,4,2,"4,279","1,142",0,"3,247",719,4,118,862,279,2,1,1,8,2,5,2,2,1,1,1,1,12,1,177,6,6,2,3,1,0,9,3,3,8,7,1,8,1,7,2,0,0,7,83,5,2,1,7,1,248,13,66,66,9,34,4,20,18,4,23,25,5,12,8,25,3,38,11,9,3,22,42,9,5,21,56,7,21,28,1,9,4,15,1,4,18,49,33,65,49,4,1,20,5,3,1,4,0,"16,830","9,015",21,"8,983",11,"1,747",826,0,"1,433",527,495,"30,872",,,,,,
A02,Forestry And Logging  ,95,272,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,116,0,0,0,1,0,9,1,2,4,2,2,1,5,2,1,2,2,0,2,1,3,0,4,2,1,0,1,7,1,1,2,1,0,2,1,0,1,1,4,0,1,1,6,5,4,3,0,0,1,1,0,1,0,0,923,378,33,336,9,5,526,0,17,10,58,"1,916",,,,,,
A03,Fishing And Aquaculture  ,0,0,0,0,0,0,0,0,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,1,0,26,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,"1,260",56,4,51,1,5,92,-7,455,262,60,"2,183",,,,,,
B05,Mining Of Coal And Lignite  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,144,0,144,0,1,123,0,47,40,0,366,,,,,,
B06 & B07,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,8,0,0,0,316,12,2,6,4,1,3,2,3,6,2,4,2,1,0,0,3,5,3,550,1,2,2,5,4,1,9,5,9,4,5,4,3,18,6,6,23,17,1,26,1,2,3,0,0,3,"1,173",729,4,0,11,0,229,13,85,32,2,30,1,2,8,2,5,11,3,6,2,4,1,30,6,5,1,29,43,3,0,10,172,29,2,6,0,3,0,3,0,2,5,30,18,51,6,2,0,0,5,1,1,1,0,"3,911",217,0,215,2,314,"1,217",0,"14,555","9,221",267,"29,703",,,,,,
B08,Other Mining And Quarrying  ,20,0,0,0,1,180,0,2,2,0,1,1,2,8,1,19,10,1,0,0,2,3,1,1,3,1,5,72,5,0,2,10,174,341,3,1,0,282,1,4,3,6,4,2,0,1,7,0,0,1,16,1,5,0,10,0,"3,272",5,35,26,4,24,1,4,7,2,4,9,2,3,2,6,1,8,2,2,1,22,14,2,1,3,10,3,4,7,0,3,1,1,0,35,8,26,26,27,5,3,3,0,5,4,0,4,0,"4,851",182,0,181,1,37,-155,6,689,202,89,"5,901",,,,,,
B09,Mining Support Service Activities  ,5,0,0,0,"2,128",378,"1,062",5,4,0,3,1,4,6,2,5,2,1,0,0,2,5,2,1,1,1,1,2,2,0,3,5,9,2,2,1,0,6,2,2,6,5,0,6,0,2,2,0,0,1,3,2,1,0,4,0,39,9,83,48,2,56,1,2,12,4,3,5,4,6,3,9,2,16,3,4,1,6,4,2,1,5,41,8,7,14,0,5,1,2,0,1,14,17,15,30,9,2,0,0,2,2,0,1,0,"4,193",186,0,185,1,53,75,0,6,6,783,"5,302",,,,,,
C101,Processing and preserving of meat and production of meat products,46,1,6,0,8,3,3,"3,759",17,34,13,44,89,744,180,47,8,0,1,10,7,7,3,7,1,1,0,0,7,1,3,7,4,1,0,4,4,1,71,48,134,34,2,4,0,5,1,0,1,0,11,3,4,0,3,0,13,132,501,156,7,214,20,9,215,20,340,"2,230",13,23,13,72,7,18,3,5,0,0,33,2,2,2,3,5,10,15,1,1,15,14,3,18,11,68,448,243,242,9,2,21,37,11,19,19,0,"10,659","7,004",0,"7,003",1,26,16,0,"1,439",565,258,"19,967",,,,,,
